"February 22, 2026 - February 28, 2026",,,,,Budget:,48000,Recommendation,,,,,,,,,,,,,,,,,,Opportunity Score - Revenue,,,,Recommendation @ Max Ad ROI,,,,,,,,,,,,,,,,,,,,,
Brand,Region,Category,Opportunity Score - Revenue,,Expected Spend,LW Spend,Difference,Expected IS %,LW IS,Difference,Expected CPA,LW CPA,Difference,LW tCPA,tCPA Adjustment,Expected Car Count,LW Car Count,Difference,Expected Cost/Car,LW Cost/Car,Difference,Expected Revenue,LW Revenue,Difference,Expected Ad ROI,LW Ad ROI,Difference,,Expected Spend,LW Spend,Difference,Expected IS %,LW IS,Difference,Expected CPA,LW CPA,Difference,LW tCPA,Expected Car Count,LW Car Count,Difference,Expected Cost/Car,LW Cost/Car,Difference,Expected Revenue,LW Revenue,Difference,Expected Ad ROI,LW Ad ROI,Difference
BP,COLORADO,NB OIL CHANGE,17.82266845402741,,2336.332784039938,4983.85,-2647.5172159600625,23,37.49975594994045,-14.49975594994045,14.418441209977216,18.52732342007435,-4.108882210097134,15,-0.5815587900227843,37,78,-41,63.1441292983767,63.89551282051283,-0.7513835221361305,5928.78417266187,7498.310416666667,-1569.5262440047973,2341.322570886854,4984.5228324822765,-2643.2002615954225,,6498.259471059679,4983.85,1514.4094710596783,57,37.49975594994045,19.50024405005955,21.166968961106445,18.52732342007435,2.6396455410320954,15,102,78,24,63.7084261868596,63.89551282051283,-0.1870866336532302,16344.215827338128,7498.310416666667,8845.905410671461,6554.387793745549,4984.5228324822765,1569.8649612632726
BP,COLORADO,NB OTHER SERVICES,33.490618542896065,,3573.6711111111113,579.04,2994.6311111111113,55,15.259981975627914,39.740018024372084,10.995911111111111,5.848888888888888,5.147022222222223,5,5.995911111111111,56,9,47,63.815555555555555,64.33777777777777,-0.5222222222222186,26277.76271186441,3761.204655581948,22516.55805628246,17412.001814995794,2887.1209422404263,14524.880872755368,,3573.6711111111113,579.04,2994.6311111111113,55,15.259981975627914,39.740018024372084,10.995911111111111,5.848888888888888,5.147022222222223,5,56,9,47,63.815555555555555,64.33777777777777,-0.5222222222222186,26277.76271186441,3761.204655581948,22516.55805628246,17412.001814995794,2887.1209422404263,14524.880872755368
BP,COLORADO,NB WHEEL ALIGNMENT,12.239202906987778,,1604.4090746495842,2153.59,-549.1809253504159,34,47.369484674974736,-13.369484674974736,9.726961100161715,11.100979381443299,-1.3740182812815842,9,0.7269611001617147,28,38,-10,57.30032409462801,56.67342105263158,0.6269030419964281,4710.120218579235,4268.018602150537,442.10161642869843,2156.598527090691,2974.768120204838,-818.1695931141471,,2301.8207246816255,2153.59,148.23072468162536,55,47.369484674974736,7.630515325025264,11.509103623408127,11.100979381443299,0.40812424196482766,9,41,38,3,56.141968894673795,56.67342105263158,-0.5314521579577871,6896.96174863388,4268.018602150537,2628.9431464833433,3206.1589700795284,2974.768120204838,231.3908498746905
BP,COLORADO,TOTAL,38.52660061722504,,12387.158200612961,15457.880000000001,-3070.72179938704,,,,,,,,,173,203,-30,71.60207052377434,76.14719211822661,-4.545121594452269,64725.64722542967,50954.725003796295,13770.922221633373,39118.996190358106,37579.86229421513,1539.1338961429792,,22865.708560643172,15457.880000000001,7407.828560643171,,,,,,,,307,203,104,74.48113537668786,76.14719211822661,-1.6660567415387533,109059.63256612388,50954.725003796295,58104.907562327586,64230.35831421027,37579.86229421513,26650.496019995146
BP,MIDWEST,CP,2.4690103506291914,,245.42889655172416,202.81,42.61889655172416,42,34.83552631578947,7.164473684210527,6.458655172413794,5.965,0.49365517241379386,4,2.4586551724137937,4,3,1,61.35722413793104,67.60333333333334,-6.246109195402298,1402.5555555555557,923.651942257218,478.90361329833763,874.6654003761416,696.7932935956089,177.8721067805327,,245.42889655172416,202.81,42.61889655172416,42,34.83552631578947,7.164473684210527,6.458655172413794,5.965,0.49365517241379386,4,4,3,1,61.35722413793104,67.60333333333334,-6.246109195402298,1402.5555555555557,923.651942257218,478.90361329833763,874.6654003761416,696.7932935956089,177.8721067805327
BP,MIDWEST,NB BRAKES,88.83592619204029,,3558.8825790654973,2577.14,981.7425790654975,55,35.2797025519689,19.720297448031097,17.794412895327486,15.249349112426035,2.545063782901451,14.85,2.9444128953274866,57,41,16,62.43653647483329,62.8570731707317,-0.4205366958984129,32870.537275064264,20897.326253869967,11973.211021194296,22691.843242750932,16169.793531606476,6522.0497111444565,,3558.8825790654973,2577.14,981.7425790654975,55,35.2797025519689,19.720297448031097,17.794412895327486,15.249349112426035,2.545063782901451,14.85,57,41,16,62.43653647483329,62.8570731707317,-0.4205366958984129,32870.537275064264,20897.326253869967,11973.211021194296,22691.843242750932,16169.793531606476,6522.0497111444565
BP,MIDWEST,NB OIL CHANGE,9.510147109417687,,1246.6634011673132,7009.64,-5762.976598832687,16,50.399884021552666,-34.399884021552666,9.365932507280306,16.61052132701422,-7.244588819733913,15,-5.634067492719694,28,145,-117,44.523692898832614,48.34234482758621,-3.818651928753596,4025.5912806539513,13858.59617619494,-9833.00489554099,1884.9133280054352,9655.933235450964,-7771.019907445529,,7348.894888597042,7009.64,339.2548885970418,59,50.399884021552666,8.600115978447334,17.050800205561583,16.61052132701422,0.4402788785473639,15,152,145,7,48.34799268813843,48.34234482758621,0.005647860552222994,21853.209809264306,13858.59617619494,7994.613633069366,10103.287721901681,9655.933235450964,447.35448645071665
BP,MIDWEST,NB OTHER SERVICES,32.374981406109235,,2690.8993563958174,1581.46,1109.4393563958174,55,29.57989537830987,25.42010462169013,8.822620840642024,6.997610619469027,1.825010221172997,6.5,2.322620840642024,48,28,20,56.0604032582462,56.480714285714285,-0.4203110274680881,20291.467980295565,10073.838076923075,10217.62990337249,13514.061274928841,7726.572650289371,5787.48862463947,,2690.8993563958174,1581.46,1109.4393563958174,55,29.57989537830987,25.42010462169013,8.822620840642024,6.997610619469027,1.825010221172997,6.5,48,28,20,56.0604032582462,56.480714285714285,-0.4203110274680881,20291.467980295565,10073.838076923075,10217.62990337249,13514.061274928841,7726.572650289371,5787.48862463947
BP,MIDWEST,NB WHEEL ALIGNMENT,3.512569848651119,,460.45473576541633,1194.51,-734.0552642345837,24,53.06656205047731,-29.06656205047731,8.507722048066874,12.065757575757576,-3.558035527690702,9,-0.49227795193312573,9,22,-13,51.16163730726848,54.29590909090909,-3.1342717836406138,1637.5467625899282,2767.213101265823,-1129.6663386758946,822.8203682991659,1969.3600044060079,-1146.539636106842,,1222.35736677116,1194.51,27.84736677116007,59,53.06656205047731,5.933437949522691,12.2235736677116,12.065757575757576,0.15781609195402346,9,23,22,1,53.14597246831131,54.29590909090909,-1.1499366225977852,4184.841726618705,2767.213101265823,1417.6286253528824,2119.6973083284493,1969.3600044060079,150.33730392244138
BP,MIDWEST,TOTAL,50.16071076945756,,8202.328968945769,12565.56,-4363.231031054231,,,,,,,,,146,239,-93,56.18033540373814,52.575564853556486,3.604770550181655,60227.69885415926,48520.62555051102,11707.073303648242,39788.30361436052,36218.45271534843,3569.85089901209,,15066.463087381242,12565.56,2500.9030873812426,,,,,,,,284,239,45,53.05092636401846,52.575564853556486,0.4753615104619726,80602.61234679839,48520.62555051102,32081.98679628737,49303.554948286044,36218.45271534843,13085.102232937614
BP,TEXAS,CP,9.343522030776121,,1224.8209012701918,921.0199999999999,303.80090127019196,42,32.39679032445633,9.603209675543667,6.201117572389185,5.482261904761904,0.718855667627281,4,2.201117572389185,28,21,7,43.74360361679256,43.85809523809523,-0.11449162130266899,13468.18064516129,9027.67579030977,4440.504854851521,9515.594514180551,7024.1037225197,2491.4907916608518,,1433.540392479758,921.0199999999999,512.5203924797582,56,32.39679032445633,23.603209675543667,6.698786880746534,5.482261904761904,1.2165249759846297,4,33,21,12,43.44061795393206,43.85809523809523,-0.4174772841631693,15873.212903225805,9027.67579030977,6845.537112916036,11242.959427010484,7024.1037225197,4218.855704490785
BP,TEXAS,NB BRAKES,67.42036198262404,,8837.980823025984,6285.88,2552.100823025984,45,32.020168580814385,12.979831419185615,12.337154824773135,10.63600676818951,1.7011480565836248,11,1.337154824773135,137,97,40,64.51080892719696,64.80288659793814,-0.29207767074117896,67529.08695652174,41739.5772688844,25789.509687637343,45034.2868439452,32067.710045795215,12966.576798149985,,9833.76986575774,6285.88,3547.88986575774,58,32.020168580814385,25.979831419185615,13.042135100474455,10.63600676818951,2.406128332284945,11,152,97,55,64.69585437998514,64.80288659793814,-0.10703221795300522,74922.78260869565,41739.5772688844,33183.20533981125,50000.28175348464,32067.710045795215,17932.571707689425
BP,TEXAS,NB OIL CHANGE,9.960529771194564,,1305.7030326785368,5152.78,-3847.0769673214627,15,30.189958260975537,-15.189958260975537,7.800597470841336,11.631557562076749,-3.8309600912354123,10,-2.1994025291586636,22,81,-59,59.3501378490244,63.614567901234565,-4.264430052210166,2749.476190476191,4995.06850374065,-2245.5923132644593,776.0492738077899,2951.3889864652547,-2175.3397126574646,,8891.016989298678,5152.78,3738.236989298678,59,30.189958260975537,28.810041739024463,14.769131211459598,11.631557562076749,3.1375736493828494,10,140,81,59,63.50726420927627,63.614567901234565,-0.10730369195829326,17496.666666666668,4995.06850374065,12501.598162926017,5081.988551161676,2951.3889864652547,2130.599564696421
BP,TEXAS,NB OTHER SERVICES,16.57459533441896,,2172.7257375563167,4172.66,-1999.934262443683,19,26.330040953986988,-7.3300409539869875,5.5424326375711574,6.633799682034976,-1.0913670444638184,5.5,0.04243263757115745,43,78,-35,50.5285055245655,53.49564102564102,-2.967135501075518,9317.13487881981,12703.564295407097,-3386.429416587287,5135.101153821966,9304.854321686511,-4169.753167864545,,9125.240849069183,4172.66,4952.580849069183,59,26.330040953986988,32.66995904601301,9.116124724344838,6.633799682034976,2.4823250423098617,5.5,171,78,93,53.363981573504,53.49564102564102,-0.13165945213702201,37051.86195995785,12703.564295407097,24348.297664550755,20464.73090464752,9304.854321686511,11159.87658296101
