"February 22, 2026 - February 28, 2026",,,,,,,,,LW Budget,,,,,,,,,,,,,,,,,,,,,,
Brand,Region,Category,Opportunity Score Only  Split,Max Ad ROI,IS at Max ROI,Spend @ Max Ad OI,Min Spend,Opportunity Score,48000,Total Spend,Diff from Spend @ Max Ad OI,Opp Score 2,9080.192892316103,Total Spend,Diff from Spend @ Max Ad OI,Opp Score 3,1047.4358056709507,Total Spend,Diff from Spend @ Max Ad OI,Opp Score 4,0,Total Spend,Diff from Spend @ Max Ad OI,Opp Score 5,0,Total Spend,Diff from Spend @ Max Ad OI,,Total,Diff from Spend @ Max Ad OI,Final
BP,COLORADO,NB OIL CHANGE,1716.8878427174354,6554.387793745549,57,6498.259471059679,0,17.82266845402741,1716.8878427174354,1716.8878427174354,4781.371628342244,17.82266845402741,536.3825917916259,2253.2704345090615,4244.989036550617,17.82266845402741,83.06234953087619,2336.332784039938,4161.926687019741,17.82266845402741,0,2336.332784039938,4161.926687019741,17.82266845402741,0,2336.332784039938,4161.926687019741,,2336.332784039938,4161.926687019741,2336.332784039938
BP,COLORADO,NB OTHER SERVICES,3226.2080153542947,17412.001814995794,55,3573.6711111111113,0,33.490618542896065,3226.2080153542947,3226.2080153542947,347.46309575681653,33.490618542896065,347.46309575681653,3573.6711111111113,0,0,0,3573.6711111111113,0,0,0,3573.6711111111113,0,0,0,3573.6711111111113,0,,3573.6711111111113,0,3573.6711111111113
BP,COLORADO,NB WHEEL ALIGNMENT,1179.0231485123543,3206.1589700795284,55,2301.8207246816255,0,12.239202906987778,1179.0231485123543,1179.0231485123543,1122.7975761692712,12.239202906987778,368.34525613532514,1547.3684046476794,754.4523200339461,12.239202906987778,57.04067000190471,1604.4090746495842,697.4116500320413,12.239202906987778,0,1604.4090746495842,697.4116500320413,12.239202906987778,0,1604.4090746495842,697.4116500320413,,1604.4090746495842,697.4116500320413,1604.4090746495842
BP,COLORADO,TOTAL,9906.369114426852,64230.35831421027,,22865.708560643172,0,38.52660061722504,9906.369114426852,9906.369114426852,12959.33944621632,,2240.66790425491,12147.037018681762,10718.67154196141,,240.12118193120017,12387.158200612961,10478.55036003021,,0,12387.158200612961,10478.55036003021,,0,12387.158200612961,10478.55036003021,,12387.158200612961,10478.55036003021,12387.158200612961
BP,MIDWEST,CP,237.84394943288507,874.6654003761416,42,245.42889655172416,0,2.4690103506291914,237.84394943288507,237.84394943288507,7.5849471188390964,2.4690103506291914,7.5849471188390964,245.42889655172416,0,0,0,245.42889655172416,0,0,0,245.42889655172416,0,0,0,245.42889655172416,0,,245.42889655172416,0,245.42889655172416
BP,MIDWEST,NB BRAKES,8557.71525285777,22691.843242750932,55,3558.8825790654973,0,88.83592619204029,3558.8825790654973,3558.8825790654973,0,0,0,3558.8825790654973,0,0,0,3558.8825790654973,0,0,0,3558.8825790654973,0,0,0,3558.8825790654973,0,,3558.8825790654973,0,3558.8825790654973
BP,MIDWEST,NB OIL CHANGE,916.1285806741224,10103.287721901681,59,7348.894888597042,0,9.510147109417687,916.1285806741224,916.1285806741224,6432.76630792292,9.510147109417687,286.21288490144144,1202.341465575564,6146.553423021478,9.510147109417687,44.32193559174924,1246.6634011673132,6102.231487429729,9.510147109417687,0,1246.6634011673132,6102.231487429729,9.510147109417687,0,1246.6634011673132,6102.231487429729,,1246.6634011673132,6102.231487429729,1246.6634011673132
BP,MIDWEST,NB OTHER SERVICES,3118.736800144624,13514.061274928841,55,2690.8993563958174,0,32.374981406109235,2690.8993563958174,2690.8993563958174,0,0,0,2690.8993563958174,0,0,0,2690.8993563958174,0,0,0,2690.8993563958174,0,0,0,2690.8993563958174,0,,2690.8993563958174,0,2690.8993563958174
BP,MIDWEST,NB WHEEL ALIGNMENT,338.3718036050975,2119.6973083284493,59,1222.35736677116,0,3.512569848651119,338.3718036050975,338.3718036050975,883.9855631660625,3.512569848651119,105.7126391667157,444.0844427718132,778.2729239993469,3.512569848651119,16.370292993603115,460.45473576541633,761.9026310057437,3.512569848651119,0,460.45473576541633,761.9026310057437,3.512569848651119,0,460.45473576541633,761.9026310057437,,460.45473576541633,761.9026310057437,460.45473576541633
BP,MIDWEST,TOTAL,13168.796386714499,49303.554948286044,,15066.463087381242,0,50.16071076945756,7742.12626917342,7742.12626917342,7324.336818207822,,399.51047118699626,8141.636740360416,6924.826347020826,,60.69222858535235,8202.328968945769,6864.134118435473,,0,8202.328968945769,6864.134118435473,,0,8202.328968945769,6864.134118435473,,8202.328968945769,6864.134118435473,8202.328968945769
BP,TEXAS,CP,900.0773045956015,11242.959427010484,56,1433.540392479758,0,9.343522030776121,900.0773045956015,900.0773045956015,533.4630878841566,9.343522030776121,281.19821542196456,1181.2755200175661,252.264872462192,9.343522030776121,43.545381252625674,1224.8209012701918,208.71949120956629,9.343522030776121,0,1224.8209012701918,208.71949120956629,9.343522030776121,0,1224.8209012701918,208.71949120956629,,1224.8209012701918,208.71949120956629,1224.8209012701918
BP,TEXAS,NB BRAKES,6494.7176758718815,50000.28175348464,58,9833.76986575774,0,67.42036198262404,6494.7176758718815,6494.7176758718815,3339.0521898858588,67.42036198262404,2029.0512945943103,8523.768970466192,1310.0008952915487,67.42036198262404,314.2118525597919,8837.980823025984,995.7890427317561,67.42036198262404,0,8837.980823025984,995.7890427317561,67.42036198262404,0,8837.980823025984,995.7890427317561,,8837.980823025984,995.7890427317561,8837.980823025984
BP,TEXAS,NB OIL CHANGE,959.5147054045472,5081.988551161676,59,8891.016989298678,0,9.960529771194564,959.5147054045472,959.5147054045472,7931.50228389413,9.960529771194564,299.76738826018527,1259.2820936647324,7631.734895633946,9.960529771194564,46.42093901380435,1305.7030326785368,7585.313956620141,9.960529771194564,0,1305.7030326785368,7585.313956620141,9.960529771194564,0,1305.7030326785368,7585.313956620141,,1305.7030326785368,7585.313956620141,1305.7030326785368
BP,TEXAS,NB OTHER SERVICES,1596.6588449438746,20464.73090464752,59,9125.240849069183,0,16.57459533441896,1596.6588449438746,1596.6588449438746,7528.582004125308,16.57459533441896,498.8211740741928,2095.480019018067,7029.7608300511165,16.57459533441896,77.24571853824935,2172.7257375563167,6952.5151115128665,16.57459533441896,0,2172.7257375563167,6952.5151115128665,16.57459533441896,0,2172.7257375563167,6952.5151115128665,,2172.7257375563167,6952.5151115128665,2172.7257375563167
