AE - 02 Ad Group Performance
"January 1, 2025 - July 13, 2026"
Ad group,Campaign,Campaign state,Ad group state,Campaign type,Campaign subtype,Labels on Ad group,Ad group bid strategy,Ad group bid strategy type,Ad group sitelinks: active,Ad group sitelinks: disapproved,Ad group sitelinks level,Ad group phone numbers: active,Ad group phone numbers: disapproved,Ad group phone numbers level,Ad group apps: active,Ad group apps: disapproved,Ad group apps level,Ad group desktop bid adj.,Ad group mobile bid adj.,Ad group tablet bid adj.,Ads: active,Ads: disapproved,Keywords: active,Keywords: disapproved,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
online_location_overflow_1,Lector Workbooks_Religious Books,Paused,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
online_location_overflow_2,Lector Workbooks_Religious Books,Paused,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
online_location_overflow_3,Lector Workbooks_Religious Books,Paused,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
online_location_overflow_4,Lector Workbooks_Religious Books,Paused,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
online_location_overflow_5,Lector Workbooks_Religious Books,Paused,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
online_location_overflow_6,Lector Workbooks_Religious Books,Paused,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
online_location_overflow_7,Lector Workbooks_Religious Books,Paused,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
online_location_overflow_8,Lector Workbooks_Religious Books,Paused,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Religious Books,Lector Workbooks_Religious Books,Paused,Enabled,Search,All features, --,Lector Workbooks_Religious Books,Maximize clicks,0,0, --,0,0, --,0,0, --, --,-25%, --,0,0,156,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Ad Group #14,Lector Workbooks_Religious Books,Paused,Enabled,Search,All features, --,Lector Workbooks_Religious Books,Maximize clicks,0,0, --,0,0, --,0,0, --, --,-25%, --,0,0,10,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
